,,,,,,,,,,,,,,,,,,,,,,,
OVERSEAS EMPLOYMENT STATISTICS,,,,,,,,,,,,,,,,,,,,,,,
Land-based,,,,,,,,,,,,,,,,,,,,,,,
2020 - April 2025 p,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Deployed Land-based Overseas Filipino Workers by Country of Destination,,,,,,,,,,,,,,,,,,,,,,,
Country of Destination,2020,,,2021,,,2022,,,2023 p,,,2024 p,,,Jan-April 2025 p,,,,,,,
,New Hires,Rehires,Total,New Hires,Rehires,Total,New Hires,Rehires,Total,New Hires,Rehires,Total,New Hires,Rehires,Total,New Hires,Rehires,Total,,,,,
BRUNEI DARUSSALAM, 430 ," 2,003 "," 2,433 ", 557 , 314 , 871 ," 2,012 "," 4,215 "," 6,227 "," 2,523 "," 11,422 "," 13,945 "," 2,216 "," 12,209 "," 14,425 ", 692 ," 5,207 "," 5,899 ",,,,,
CAMBODIA, 58 , 756 , 814 , 51 , 101 , 152 , 293 ," 1,772 "," 2,065 ", 349 ," 3,522 "," 3,871 ", 379 ," 4,692 "," 5,071 ", 137 ," 2,227 "," 2,364 ",,,,,
EAST TIMOR, 1 , 120 , 121 , -   , 17 , 17 , 27 , 111 , 138 , 40 , 262 , 302 , 51 , 317 , 368 , 14 , 181 , 195 ,,,,,
INDONESIA, 635 ," 1,205 "," 1,840 ", 530 , 570 ," 1,100 ", 749 ," 2,550 "," 3,299 ", 483 ," 5,050 "," 5,533 ", 320 ," 6,344 "," 6,664 ", 66 ," 2,811 "," 2,877 ",,,,,
LAOS, 5 , 275 , 280 , 12 , 60 , 72 , 87 , 527 , 614 , 222 ," 1,226 "," 1,448 ", 189 ," 1,538 "," 1,727 ", 58 , 659 , 717 ,,,,,
MALAYSIA," 1,478 "," 4,348 "," 5,826 ", 557 , 361 , 918 ," 6,420 "," 8,674 "," 15,094 "," 10,936 "," 18,948 "," 29,884 "," 6,842 "," 24,677 "," 31,519 "," 2,216 "," 12,287 "," 14,503 ",,,,,
MYANMAR (BURMA), 3 , 247 , 250 , 1 , 15 , 16 , -   , 2 , 2 , -   , 99 , 99 , -   , 545 , 545 , 2 , 293 , 295 ,,,,,
SINGAPORE," 4,799 "," 27,580 "," 32,379 "," 6,853 "," 2,041 "," 8,894 "," 10,263 "," 64,471 "," 74,734 "," 17,674 "," 164,657 "," 182,331 "," 12,765 "," 207,698 "," 220,463 "," 4,643 "," 86,597 "," 91,240 ",,,,,
THAILAND, 48 ," 2,257 "," 2,305 ", 108 , 216 , 324 , 657 ," 4,167 "," 4,824 ", 889 ," 13,174 "," 14,063 ", 482 ," 17,655 "," 18,137 ", 177 ," 9,415 "," 9,592 ",,,,,
VIETNAM, 21 ," 2,341 "," 2,362 ", 89 , 116 , 205 , 515 ," 2,435 "," 2,950 ", 527 ," 7,140 "," 7,667 ", 240 ," 8,243 "," 8,483 ", 54 ," 3,849 "," 3,903 ",,,,,
Total," 7,478 "," 41,132 "," 48,610 "," 8,758 "," 3,811 "," 12,569 "," 21,023 "," 88,924 "," 109,947 "," 33,643 "," 225,500 "," 259,143 "," 23,484 "," 283,918 "," 307,402 "," 8,059 "," 123,526 "," 131,585 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,
p Preliminary data.,,,,,,,,,,,,,,,,,,,,,,,
The 2023 to Jan-April 2025 data are all preliminary and subject to final evaluation.,,,,,,,,,,,,,,,,,,,,,,,
Source: Department of Migrant Workers - Management Information and Technology Service.,,,,,,,,,,,,,,,,,,,,,,,
Processed by: Strategic Planning and Management Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
