"reference_area","measure","unit_of_measure","sex","age","labour_force_status","work_period","hours_type","worker_status","working_time_arrangement","aggregation_operation","hour_bands","job_coverage","time_period","obs_value","observation_status","unit_multiplier"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1950,1821,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1951,1813,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1952,1813,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1953,1795,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1954,1805,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1955,1795,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1956,1772,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1957,1772,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1958,1743,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1959,1720,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1960,1715,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1961,1717,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1962,1706,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1963,1701,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1964,1673,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1965,1663,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1966,1650,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1967,1622,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1968,1583,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1969,1562,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1970,1562,"Normal value","Units"
"Sweden","Hours worked","Hours per year per person","Not applicable","Not applicable","Employment","Annual","Actual","Total","Not applicable","Mean","Not applicable","Total",1971,1533,"Normal value","Units"
