"Series.Name","Series.Code","Country.Name","Country.Code","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Average..Time.","missing_count"
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Afghanistan","AFG",0,0,1,1,1,1,1,1,1,1,NA,0.8,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Armenia","ARM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Azerbaijan","AZE",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Bahrain","BHR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Bangladesh","BGD",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Bhutan","BTN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Brunei Darussalam","BRN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Cambodia","KHM",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","China","CHN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Cyprus","CYP",0,0,0,0,0,0,0,1,1,1,NA,0.3,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Egypt, Arab Rep.","EGY",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Georgia","GEO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","India","IND",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Indonesia","IDN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Iran, Islamic Rep.","IRN",0,0,0,0,0,0,0,0,0,0,NA,0,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Iraq","IRQ",0,0,1,1,1,1,1,1,1,1,NA,0.8,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Israel","ISR",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Japan","JPN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Jordan","JOR",0,0,0,0,0,0,1,1,1,1,NA,0.4,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Kazakhstan","KAZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Kuwait","KWT",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Kyrgyz Republic","KGZ",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Lao PDR","LAO",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Lebanon","LBN",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Malaysia","MYS",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Maldives","MDV",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Mongolia","MNG",1,1,1,1,1,1,1,1,1,1,NA,1,1
"A woman can apply for a passport in the same way as a man (1=yes; 0=no)","SG.APL.PSPT.EQ","Myanmar","MMR",0,0,0,0,0,0,0,0,0,0,NA,0,1
