STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,INST_TYPE_EDU,Type of educational institution,EDUCATION_LEV,Education level,PERS_TYPE,Type of personnel,PERS_QUAL_LEV,Qualification level,PERS_EXP_LEV,Experience level,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,CURRENCY,Currency,REF_PERIOD,Reference period,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,MAX,Maximum qualification,EXP10,After 10 years of experience,114428.3847472239,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,MIN,Minimum qualification,EXP10,After 10 years of experience,114428.3847472239,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,MAX,Maximum qualification,EXP15,After 15 years of experience,114942.5844927832,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,TE,Teacher,MAX_EXP,Maximum qualification at this stage of career,EXP15,After 15 years of experience,114319.9811722664,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,TE,Teacher,MAX_EXP,Maximum qualification at this stage of career,EXP15,After 15 years of experience,114319.9811722664,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_1,Primary education,TE,Teacher,MAX_EXP,Maximum qualification at this stage of career,EXP15,After 15 years of experience,114543.7765497501,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,MAX_EXP,Maximum qualification at this stage of career,EXP15,After 15 years of experience,114942.5844927832,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_24,Lower secondary general education,TE,Teacher,MIN_EXP,Minimum qualification at this stage of career,EXP15,After 15 years of experience,114319.9811722664,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_34,Upper secondary general education,TE,Teacher,MIN,Minimum qualification,EXP15,After 15 years of experience,114319.9811722664,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_SAL_STA@DF_TCH(2.0),Teachers' statutory salaries,I,AUS,Australia,SAL_STA,Statutory salaries,XDC,National currency,OBS,Observed,INST_EDU_PUB,Public educational institutions,ISCED11_02,Pre-primary education,TE,Teacher,MIN,Minimum qualification,EXP15,After 15 years of experience,114942.5844927832,NA,A,Normal value,NA,NA,V,Current prices,NA,NA,AUD,Australian dollar,2023,NA,0,Zero
